params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fseq_fpu_yield,fseq_yield,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,start,tend,total_ipc,tstart,fpss_fpu_fmadd_issues,fpss_stores
32x32xf64,linalg_xdsl,1086,1965,1962,0.9990253411306044,0.0,1026,1025,0.9447513812154696,0.9980544747081712,1028,0,0,0.9465930018416208,0,171.33333333333334,171.33333333333334,0,6,0.25,18,0,0,0.0165745856353591,880,0.0,0.9631675874769796,0.0,0,
32x32xf64,baseline,4120,4995,4992,0.9990253411306044,1.0,1026,1025,0.2490291262135922,0.3337670787247885,3074,1024,1024,0.746116504854369,0,1.0,1.0,0,3074,0.956738250855898,139,0,0,0.0337378640776699,876,0.0,0.7798543689320389,0.0,0,1024.0
4x32xf64,linalg_xdsl,190,949,946,0.9923076923076924,0.0,130,129,0.6842105263157895,0.9848484848484848,132,0,0,0.6947368421052632,0,22.0,22.0,0,6,0.2608695652173913,17,0,0,0.0894736842105263,760,0.0,0.7842105263157895,0.0,0,
4x32xf64,baseline,590,1349,1346,0.9923076923076924,1.0,130,129,0.2203389830508474,0.3367875647668393,386,128,128,0.6542372881355932,0,1.0,1.0,0,386,0.9346246973365616,27,0,0,0.0457627118644067,760,0.0,0.7,0.0,0,128.0
8x32xf64,linalg_xdsl,318,1088,1085,0.996124031007752,0.0,258,257,0.8113207547169812,0.9923076923076924,260,0,0,0.8176100628930818,0,43.33333333333333,43.333333333333336,0,6,0.2307692307692307,20,0,0,0.0628930817610062,771,0.0,0.8805031446540881,0.0,0,
8x32xf64,baseline,1105,1885,1882,0.996124031007752,1.0,258,257,0.2334841628959276,0.335064935064935,770,256,256,0.6968325791855203,0,1.0,1.0,0,770,0.9424724602203184,47,0,0,0.0425339366515837,781,0.0,0.739366515837104,0.0,0,256.0
12x32xf64,linalg_xdsl,446,1214,1211,0.9974093264248703,0.0,386,385,0.8654708520179372,0.9948453608247424,388,0,0,0.8699551569506726,0,64.66666666666666,64.66666666666667,0,6,0.25,18,0,0,0.0403587443946188,769,0.0,0.9103139013452914,0.0,0,
12x32xf64,baseline,1594,2389,2386,0.9974093264248703,1.0,386,385,0.2421580928481806,0.3344887348353553,1154,384,384,0.7239648682559598,0,1.0,1.0,0,1154,0.9513602638087386,59,0,0,0.0370138017565872,796,0.0,0.760978670012547,0.0,0,384.0
16x32xf64,linalg_xdsl,574,1383,1380,0.9980544747081712,0.0,514,513,0.8954703832752613,0.996124031007752,516,0,0,0.8989547038327527,0,86.0,86.0,0,6,0.25,18,0,0,0.0313588850174216,810,0.0,0.9303135888501742,0.0,0,
16x32xf64,baseline,2088,2893,2890,0.9980544747081712,1.0,514,513,0.2461685823754789,0.3342002600780234,1538,512,512,0.7365900383141762,0,1.0,1.0,0,1538,0.95350278983261,75,0,0,0.035919540229885,806,0.0,0.7725095785440613,0.0,0,512.0
20x32xf64,linalg_xdsl,689,1530,1527,0.9984423676012462,0.0,642,641,0.9317851959361392,0.9968944099378882,644,0,0,0.934687953555878,0,107.33333333333331,107.33333333333331,0,6,0.2608695652173913,17,0,0,0.0246734397677793,842,0.0,0.9593613933236574,0.0,0,
20x32xf64,baseline,2612,3440,3437,0.9984423676012462,1.0,642,641,0.2457886676875957,0.3340270551508845,1922,640,640,0.7358346094946401,0,1.0,1.0,0,1922,0.955268389662028,90,0,0,0.0344563552833078,829,0.0,0.7702909647779479,0.0,0,640.0
24x32xf64,linalg_xdsl,817,1678,1675,0.9987012987012988,0.0,770,769,0.9424724602203184,0.9974093264248703,772,0,0,0.944920440636475,0,128.66666666666669,128.66666666666666,0,6,0.2608695652173913,17,0,0,0.0208078335373317,862,0.0,0.9657282741738068,0.0,0,
24x32xf64,baseline,3120,3968,3965,0.9987012987012988,1.0,770,769,0.2467948717948718,0.3339115351257589,2306,768,768,0.7391025641025641,0,1.0,1.0,0,2306,0.9560530679933664,106,0,0,0.0339743589743589,849,0.0,0.7730769230769231,0.0,0,768.0
28x32xf64,linalg_xdsl,945,1821,1818,0.9988864142538976,0.0,898,897,0.9502645502645504,0.9977777777777778,900,0,0,0.9523809523809524,0,150.0,150.0,0,6,0.2608695652173913,17,0,0,0.0179894179894179,877,0.0,0.9703703703703704,0.0,0,
28x32xf64,baseline,3628,4491,4488,0.9988864142538976,1.0,898,897,0.2475192943770672,0.3338289962825279,2690,896,896,0.7414553472987873,0,1.0,1.0,0,2690,0.9566145092460882,122,0,0,0.0336273428886438,864,0.0,0.7750826901874311,0.0,0,896.0
32x4xf64,linalg_xdsl,190,949,946,0.9923076923076924,0.0,130,129,0.6842105263157895,0.9848484848484848,132,0,0,0.6947368421052632,0,22.0,22.0,0,6,0.2608695652173913,17,0,0,0.0894736842105263,760,0.0,0.7842105263157895,0.0,0,
32x4xf64,baseline,572,1331,1328,0.9923076923076924,1.0,130,129,0.2272727272727272,0.3367875647668393,386,128,128,0.6748251748251748,0,1.0,1.0,0,386,0.7352380952380952,139,0,0,0.243006993006993,760,0.0,0.9178321678321678,0.0,0,128.0
