kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt,min_llvm_mlir
matmul 4x28x64xf64,32632,,,8400,,32632
matmul 4x28x8xf64,4309,,,1187,,4309
matmul 4x32x12xf64,11183,,,1907,,11183
matmul 4x32x16xf64,15018,,,2484,,15018
matmul 4x32x20xf64,17185,,,3081,,17185
matmul 4x32x24xf64,20558,,,3656,,20558
matmul 4x32x28xf64,23949,,,4243,,23949
matmul 4x32x32xf64,27363,,,4820,,27363
matmul 4x32x36xf64,30723,,,5425,,30723
matmul 4x32x40xf64,34122,,,5988,,34122
matmul 4x32x44xf64,37536,,,6591,,37536
matmul 4x32x48xf64,40925,,,7164,,40925
matmul 4x32x4xf64,3298,,,745,,3298
matmul 4x32x52xf64,44325,,,7745,,44325
matmul 4x32x56xf64,47701,,,8327,,47701
matmul 4x32x60xf64,51092,,,8906,,51092
matmul 4x32x64xf64,54476,,,9488,,54476
matmul 4x32x8xf64,7456,,,1324,,7456
matmul 4x36x12xf64,12711,,,2124,,12711
matmul 4x36x16xf64,17002,,,2774,,17002
matmul 4x36x20xf64,21194,,,3425,,21194
matmul 4x36x24xf64,25396,,,4076,,25396
matmul 4x36x28xf64,29592,,,4722,,29592
matmul 4x36x32xf64,33782,,,5376,,33782
matmul 4x36x36xf64,37989,,,6045,,37989
matmul 4x36x40xf64,42185,,,6686,,42185
matmul 4x36x44xf64,46386,,,7351,,46386
matmul 4x36x48xf64,50576,,,8008,,50576
matmul 4x36x4xf64,4339,,,822,,4339
matmul 4x36x52xf64,54778,,,8634,,54778
matmul 4x36x56xf64,58979,,,9290,,58979
matmul 4x36x60xf64,63169,,,9945,,63169
matmul 4x36x64xf64,67365,,,10587,,67365
matmul 4x36x8xf64,8559,,,1465,,8559
matmul 4x40x12xf64,14063,,,2329,,14063
matmul 4x40x16xf64,18810,,,3055,,18810
matmul 4x40x20xf64,23452,,,3764,,23452
matmul 4x40x24xf64,28101,,,4481,,28101
matmul 4x40x28xf64,32744,,,5211,,32744
matmul 4x40x32xf64,37399,,,5919,,37399
matmul 4x40x36xf64,42043,,,6656,,42043
matmul 4x40x40xf64,46692,,,7365,,46692
matmul 4x40x44xf64,51335,,,8114,,51335
matmul 4x40x48xf64,55985,,,8815,,55985
matmul 4x40x4xf64,4856,,,890,,4856
matmul 4x40x52xf64,60634,,,9523,,60634
matmul 4x40x56xf64,65277,,,10249,,65277
matmul 4x40x60xf64,69925,,,10952,,69925
matmul 4x40x64xf64,74570,,,11678,,74570
matmul 4x40x8xf64,9457,,,1601,,9457
matmul 4x44x12xf64,15414,,,2534,,15414
matmul 4x44x16xf64,20614,,,3328,,20614
matmul 4x44x20xf64,25704,,,4106,,25704
matmul 4x44x24xf64,30806,,,4895,,30806
matmul 4x44x28xf64,35892,,,5681,,35892
matmul 4x44x32xf64,41000,,,6464,,41000
matmul 4x44x36xf64,46097,,,7273,,46097
matmul 4x44x40xf64,51188,,,8061,,51188
matmul 4x44x44xf64,56291,,,8857,,56291
matmul 4x44x48xf64,61388,,,9638,,61388
matmul 4x44x4xf64,5308,,,964,,5308
matmul 4x44x52xf64,66484,,,10416,,66484
matmul 4x44x56xf64,71587,,,11201,,71587
matmul 4x44x60xf64,76678,,,11975,,76678
matmul 4x44x64xf64,81775,,,12774,,81775
matmul 4x44x8xf64,10368,,,1743,,10368
matmul 4x48x12xf64,16775,,,2748,,16775
matmul 4x48x16xf64,22409,,,3597,,22409
matmul 4x48x20xf64,27956,,,4448,,27956
matmul 4x48x24xf64,33500,,,5309,,33500
matmul 4x48x28xf64,39049,,,6150,,39049
