kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt,min_llvm_mlir
matmul 8x8x4xf64,1381,,,502,,1381
matmul 8x8x52xf64,16112,,,4641,,16112
matmul 8x8x56xf64,17333,,,4981,,17333
matmul 8x8x60xf64,18560,,,5320,,18560
matmul 8x8x64xf64,19775,,,5728,,19775
matmul 8x8x8xf64,2583,,,853,,2583
pooling_nchw_max_d1_s2_3x3 12x12xf64,3953,,,1757,,3953
pooling_nchw_max_d1_s2_3x3 12x16xf64,5237,,,2285,,5237
pooling_nchw_max_d1_s2_3x3 12x4xf64,1149,,,700,,1149
pooling_nchw_max_d1_s2_3x3 12x8xf64,2658,,,1229,,2658
pooling_nchw_max_d1_s2_3x3 16x12xf64,5237,,,2313,,5237
pooling_nchw_max_d1_s2_3x3 16x16xf64,6977,,,3017,,6977
pooling_nchw_max_d1_s2_3x3 16x4xf64,1509,,,904,,1509
pooling_nchw_max_d1_s2_3x3 16x8xf64,3509,,,1609,,3509
pooling_nchw_max_d1_s2_3x3 4x12xf64,1336,,,645,,1336
pooling_nchw_max_d1_s2_3x3 4x16xf64,1771,,,821,,1771
pooling_nchw_max_d1_s2_3x3 4x4xf64,442,,,302,,442
pooling_nchw_max_d1_s2_3x3 4x8xf64,969,,,469,,969
pooling_nchw_max_d1_s2_3x3 8x12xf64,2658,,,1201,,2658
pooling_nchw_max_d1_s2_3x3 8x16xf64,3509,,,1553,,3509
pooling_nchw_max_d1_s2_3x3 8x4xf64,789,,,504,,789
pooling_nchw_max_d1_s2_3x3 8x8xf64,1793,,,849,,1793
pooling_nchw_sum_d1_s2_3x3 12x12xf64,5668,,,1833,,5668
pooling_nchw_sum_d1_s2_3x3 12x16xf64,7553,,,2385,,7553
pooling_nchw_sum_d1_s2_3x3 12x4xf64,1667,,,718,,1667
pooling_nchw_sum_d1_s2_3x3 12x8xf64,3802,,,1274,,3802
pooling_nchw_sum_d1_s2_3x3 16x12xf64,7553,,,2413,,7553
pooling_nchw_sum_d1_s2_3x3 16x16xf64,10036,,,3149,,10036
pooling_nchw_sum_d1_s2_3x3 16x4xf64,2211,,,930,,2211
pooling_nchw_sum_d1_s2_3x3 16x8xf64,5044,,,1677,,5044
pooling_nchw_sum_d1_s2_3x3 4x12xf64,1895,,,666,,1895
pooling_nchw_sum_d1_s2_3x3 4x16xf64,2511,,,850,,2511
pooling_nchw_sum_d1_s2_3x3 4x4xf64,582,,,301,,582
pooling_nchw_sum_d1_s2_3x3 4x8xf64,1269,,,478,,1269
pooling_nchw_sum_d1_s2_3x3 8x12xf64,3798,,,1246,,3798
pooling_nchw_sum_d1_s2_3x3 8x16xf64,5057,,,1621,,5057
pooling_nchw_sum_d1_s2_3x3 8x4xf64,1137,,,512,,1137
pooling_nchw_sum_d1_s2_3x3 8x8xf64,2554,,,878,,2554
saxpy 64xf32,634,634,,,140,634
