kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 4x60x16xf64,0.14,,0.94,,
matmul 4x60x20xf64,0.14,,0.95,,
matmul 4x60x24xf64,0.14,,0.95,,
matmul 4x60x28xf64,0.14,,0.95,,
matmul 4x60x32xf64,0.14,,0.95,,
matmul 4x60x36xf64,0.14,,0.95,,
matmul 4x60x40xf64,0.14,,0.96,,
matmul 4x60x44xf64,0.14,,0.95,,
matmul 4x60x48xf64,0.14,,0.96,,
matmul 4x60x4xf64,0.14,,0.88,,
matmul 4x60x52xf64,0.14,,0.96,,
matmul 4x60x56xf64,0.14,,0.96,,
matmul 4x60x60xf64,0.14,,0.96,,
matmul 4x60x64xf64,0.14,,0.96,,
matmul 4x60x8xf64,0.14,,0.92,,
matmul 4x64x12xf64,0.14,,0.93,,
matmul 4x64x16xf64,0.14,,0.94,,
matmul 4x64x20xf64,0.14,,0.95,,
matmul 4x64x24xf64,0.14,,0.95,,
matmul 4x64x28xf64,0.14,,0.95,,
matmul 4x64x32xf64,0.14,,0.95,,
matmul 4x64x36xf64,0.14,,0.95,,
matmul 4x64x40xf64,0.14,,0.96,,
matmul 4x64x44xf64,0.14,,0.96,,
matmul 4x64x48xf64,0.14,,0.96,,
matmul 4x64x4xf64,0.14,,0.88,,
matmul 4x64x52xf64,0.14,,0.96,,
matmul 4x64x56xf64,0.14,,0.96,,
matmul 4x64x60xf64,0.14,,0.96,,
matmul 4x64x64xf64,0.14,,0.96,,
matmul 4x64x8xf64,0.14,,0.92,,
matmul 4x8x12xf64,0.20,,0.77,,
matmul 4x8x16xf64,0.20,,0.81,,
matmul 4x8x20xf64,0.20,,0.84,,
matmul 4x8x24xf64,0.21,,0.86,,
matmul 4x8x28xf64,0.21,,0.87,,
matmul 4x8x32xf64,0.21,,0.86,,
matmul 4x8x36xf64,0.21,,0.89,,
matmul 4x8x40xf64,0.21,,0.89,,
matmul 4x8x44xf64,0.21,,0.89,,
matmul 4x8x48xf64,0.21,,0.90,,
matmul 4x8x4xf64,0.17,,0.58,,
matmul 4x8x52xf64,0.21,,0.90,,
matmul 4x8x56xf64,0.21,,0.91,,
matmul 4x8x60xf64,0.21,,0.91,,
matmul 4x8x64xf64,0.21,,0.90,,
matmul 4x8x8xf64,0.20,,0.71,,
matmul 8x12x12xf64,0.21,,0.88,,
matmul 8x12x16xf64,0.21,,0.90,,
matmul 8x12x20xf64,0.21,,0.91,,
matmul 8x12x24xf64,0.21,,0.92,,
matmul 8x12x28xf64,0.22,,0.93,,
matmul 8x12x32xf64,0.22,,0.92,,
matmul 8x12x36xf64,0.22,,0.94,,
matmul 8x12x40xf64,0.22,,0.94,,
matmul 8x12x44xf64,0.22,,0.93,,
matmul 8x12x48xf64,0.22,,0.94,,
matmul 8x12x4xf64,0.19,,0.80,,
matmul 8x12x52xf64,0.22,,0.94,,
matmul 8x12x56xf64,0.22,,0.94,,
matmul 8x12x60xf64,0.22,,0.95,,
matmul 8x12x64xf64,0.22,,0.94,,
matmul 8x12x8xf64,0.21,,0.86,,
matmul 8x16x12xf64,0.21,,0.90,,
matmul 8x16x16xf64,0.22,,0.92,,
matmul 8x16x20xf64,0.22,,0.93,,
matmul 8x16x24xf64,0.22,,0.93,,
matmul 8x16x28xf64,0.22,,0.94,,
matmul 8x16x32xf64,0.22,,0.93,,
matmul 8x16x36xf64,0.22,,0.94,,
matmul 8x16x40xf64,0.22,,0.95,,
matmul 8x16x44xf64,0.22,,0.94,,
matmul 8x16x48xf64,0.22,,0.95,,
matmul 8x16x4xf64,0.20,,0.84,,
matmul 8x16x52xf64,0.22,,0.95,,
matmul 8x16x56xf64,0.22,,0.95,,
matmul 8x16x60xf64,0.22,,0.95,,
matmul 8x16x64xf64,0.22,,0.95,,
matmul 8x16x8xf64,0.21,,0.88,,
matmul 8x20x12xf64,0.22,,0.91,,
matmul 8x20x16xf64,0.22,,0.93,,
matmul 8x20x20xf64,0.22,,0.93,,
matmul 8x20x24xf64,0.22,,0.94,,
matmul 8x20x28xf64,0.22,,0.94,,
matmul 8x20x32xf64,0.22,,0.94,,
matmul 8x20x36xf64,0.22,,0.94,,
matmul 8x20x40xf64,0.22,,0.95,,
matmul 8x20x44xf64,0.22,,0.94,,
matmul 8x20x48xf64,0.22,,0.95,,
matmul 8x20x4xf64,0.20,,0.85,,
matmul 8x20x52xf64,0.22,,0.95,,
matmul 8x20x56xf64,0.22,,0.95,,
matmul 8x20x60xf64,0.22,,0.95,,
matmul 8x20x64xf64,0.22,,0.95,,
matmul 8x20x8xf64,0.22,,0.90,,
matmul 8x24x12xf64,0.22,,0.92,,
matmul 8x24x16xf64,0.22,,0.93,,
matmul 8x24x20xf64,0.22,,0.94,,
matmul 8x24x24xf64,0.22,,0.94,,
matmul 8x24x28xf64,0.22,,0.95,,
matmul 8x24x32xf64,0.22,,0.95,,
matmul 8x24x36xf64,0.22,,0.95,,
matmul 8x24x40xf64,0.22,,0.95,,
matmul 8x24x44xf64,0.22,,0.95,,
matmul 8x24x48xf64,0.22,,0.95,,
matmul 8x24x4xf64,0.21,,0.87,,
matmul 8x24x52xf64,0.22,,0.95,,
matmul 8x24x56xf64,0.22,,0.95,,
matmul 8x24x60xf64,0.22,,0.96,,
matmul 8x24x64xf64,0.22,,0.95,,
matmul 8x24x8xf64,0.22,,0.91,,
matmul 8x28x12xf64,0.22,,0.92,,
matmul 8x28x16xf64,0.22,,0.94,,
matmul 8x28x20xf64,0.22,,0.94,,
matmul 8x28x24xf64,0.22,,0.94,,
matmul 8x28x28xf64,0.22,,0.95,,
matmul 8x28x32xf64,0.22,,0.95,,
matmul 8x28x36xf64,0.22,,0.95,,
matmul 8x28x40xf64,0.22,,0.95,,
matmul 8x28x44xf64,0.22,,0.95,,
matmul 8x28x48xf64,0.22,,0.95,,
matmul 8x28x4xf64,0.21,,0.88,,
matmul 8x28x52xf64,0.22,,0.96,,
matmul 8x28x56xf64,0.22,,0.95,,
matmul 8x28x60xf64,0.22,,0.96,,
matmul 8x28x64xf64,0.22,,0.96,,
matmul 8x28x8xf64,0.21,,0.91,,
matmul 8x32x12xf64,0.15,,0.93,,
matmul 8x32x16xf64,0.14,,0.94,,
matmul 8x32x20xf64,0.15,,0.95,,
matmul 8x32x24xf64,0.15,,0.95,,
matmul 8x32x28xf64,0.15,,0.95,,
matmul 8x32x32xf64,0.15,,0.95,,
matmul 8x32x36xf64,0.15,,0.95,,
