params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fseq_fpu_yield,fseq_yield,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,start,tend,total_ipc,tstart,fpss_fpu_fmadd_issues
4x16x16xf64,snitch_stream,1309,2108,2105,2.81369150779896,0,1154,3247,0.881588999236058,0.9982698961937716,1156,0,0,0.8831168831168831,0,5.452830188679246,5.452830188679245,0,212,0.6838709677419355,98,0,0,0.0748663101604278,800,0.0,0.9579831932773109,0.0,1024
8x16x16xf64,snitch_stream,2505,3322,3319,2.815698178664354,0,2306,6493,0.920558882235529,0.9991334488734837,2308,0,0,0.9213572854291416,0,5.495238095238095,5.495238095238095,0,420,0.7420494699646644,146,0,0,0.0582834331337325,818,0.0,0.9796407185628744,0.0,2048
12x16x16xf64,snitch_stream,3701,4536,4533,2.8163678426836323,0,3458,9739,0.934342069710889,0.999421965317919,3460,0,0,0.9348824641988652,0,5.509554140127389,5.509554140127388,0,628,0.7639902676399026,194,0,0,0.0524182653336936,836,0.0,0.9873007295325588,0.0,3072
16x4x16xf64,snitch_stream,1781,2577,2574,2.450585175552666,0,1538,3769,0.8635597978663672,0.9987012987012988,1540,0,0,0.8646827624929815,0,1.8421052631578947,1.8421052631578947,0,836,0.7755102040816326,242,0,0,0.1358787198203256,797,0.0,1.000561482313307,0.0,1024
16x8x16xf64,snitch_stream,2821,3631,3628,2.670179547228728,0,2562,6841,0.9081885856079404,0.999219968798752,2564,0,0,0.9088975540588444,0,3.0669856459330145,3.0669856459330145,0,836,0.7755102040816326,242,0,0,0.0857851825593761,811,0.0,0.9946827366182204,0.0,2048
16x12x16xf64,snitch_stream,3861,4689,4686,2.7643614054657,0,3586,9913,0.9287749287749288,0.999442586399108,3588,0,0,0.9292929292929292,0,4.291866028708134,4.291866028708134,0,836,0.7755102040816326,242,0,0,0.0626780626780626,829,0.0,0.991970991970992,0.0,3072
16x16x4xf64,snitch_stream,1299,2099,2096,2.8084922010398614,0,1154,3241,0.8883756735950731,0.9982698961937716,1156,0,0,0.8899153194765204,0,5.452830188679246,5.452830188679245,0,212,0.6883116883116883,96,0,0,0.0739030023094688,801,0.0,0.9638183217859893,0.0,1024
16x16x8xf64,snitch_stream,2499,3326,3323,2.813963573287077,0,2306,6489,0.9227691076430572,0.9991334488734837,2308,0,0,0.9235694277711084,0,5.495238095238095,5.495238095238095,0,420,0.7420494699646644,146,0,0,0.0584233693477391,828,0.0,0.9819927971188476,0.0,2048
16x16x12xf64,snitch_stream,3733,4580,4577,2.818102949681897,0,3458,9745,0.9263327082775248,0.999421965317919,3460,0,0,0.9268684703991428,0,5.509554140127389,5.509554140127388,0,628,0.7639902676399026,194,0,0,0.0519689257969461,848,0.0,0.9788373961960888,0.0,3072
16x16x16xf64,snitch_stream,4897,5772,5769,2.816702819956616,0,4610,12985,0.9413926894016744,0.9995663486556808,4612,0,0,0.9418011027159484,0,5.516746411483254,5.516746411483253,0,836,0.7755102040816326,242,0,0,0.0494180110271594,876,0.0,0.991219113743108,0.0,4096
