kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 1x28x20xf64,0.51,,0.93,,
matmul 1x28x24xf64,0.51,,0.94,,
matmul 1x28x28xf64,0.51,,0.95,,
matmul 1x28x32xf64,0.53,,0.95,,
matmul 1x28x36xf64,0.53,,0.96,,
matmul 1x28x40xf64,0.54,,0.96,,
matmul 1x28x44xf64,0.56,,0.97,,
matmul 1x28x48xf64,0.56,,0.97,,
matmul 1x28x4xf64,0.51,,0.83,,
matmul 1x28x52xf64,0.58,,0.97,,
matmul 1x28x56xf64,0.58,,0.98,,
matmul 1x28x60xf64,0.58,,0.98,,
matmul 1x28x64xf64,0.59,,0.98,,
matmul 1x28x8xf64,0.50,,0.84,,
matmul 1x32x12xf64,0.52,,0.88,,
matmul 1x32x16xf64,0.53,,0.90,,
matmul 1x32x20xf64,0.54,,0.94,,
matmul 1x32x24xf64,0.54,,0.95,,
matmul 1x32x28xf64,0.54,,0.95,,
matmul 1x32x32xf64,0.55,,0.96,,
matmul 1x32x36xf64,0.56,,0.96,,
matmul 1x32x40xf64,0.58,,0.97,,
matmul 1x32x44xf64,0.59,,0.97,,
matmul 1x32x48xf64,0.59,,0.97,,
matmul 1x32x4xf64,0.53,,0.84,,
matmul 1x32x52xf64,0.61,,0.98,,
matmul 1x32x56xf64,0.61,,0.98,,
matmul 1x32x60xf64,0.61,,0.98,,
matmul 1x32x64xf64,0.63,,0.98,,
matmul 1x32x8xf64,0.52,,0.85,,
matmul 1x36x12xf64,0.92,,0.89,,
matmul 1x36x16xf64,0.94,,0.91,,
matmul 1x36x20xf64,0.99,,0.95,,
matmul 1x36x24xf64,0.99,,0.95,,
matmul 1x36x28xf64,1.00,,0.96,,
matmul 1x36x32xf64,0.99,,0.96,,
matmul 1x36x36xf64,0.99,,0.97,,
matmul 1x36x40xf64,1.00,,0.97,,
matmul 1x36x44xf64,1.00,,0.97,,
matmul 1x36x48xf64,1.00,,0.98,,
matmul 1x36x4xf64,0.86,,0.85,,
matmul 1x36x52xf64,1.00,,0.98,,
matmul 1x36x56xf64,1.00,,0.98,,
matmul 1x36x60xf64,1.00,,0.98,,
matmul 1x36x64xf64,1.00,,0.98,,
matmul 1x36x8xf64,0.90,,0.83,,
matmul 1x40x12xf64,0.95,,0.89,,
matmul 1x40x16xf64,0.95,,0.92,,
matmul 1x40x20xf64,0.99,,0.95,,
matmul 1x40x24xf64,0.99,,0.95,,
matmul 1x40x28xf64,1.00,,0.96,,
matmul 1x40x32xf64,0.99,,0.97,,
matmul 1x40x36xf64,1.00,,0.97,,
matmul 1x40x40xf64,1.00,,0.97,,
matmul 1x40x44xf64,1.00,,0.97,,
matmul 1x40x48xf64,1.00,,0.98,,
matmul 1x40x4xf64,0.93,,0.86,,
matmul 1x40x52xf64,1.00,,0.98,,
matmul 1x40x56xf64,1.00,,0.98,,
matmul 1x40x60xf64,1.00,,0.98,,
matmul 1x40x64xf64,1.00,,0.99,,
matmul 1x40x8xf64,0.94,,0.84,,
matmul 1x44x12xf64,0.96,,0.90,,
matmul 1x44x16xf64,0.96,,0.92,,
matmul 1x44x20xf64,0.99,,0.95,,
matmul 1x44x24xf64,0.99,,0.96,,
matmul 1x44x28xf64,1.00,,0.97,,
matmul 1x44x32xf64,1.00,,0.97,,
matmul 1x44x36xf64,1.00,,0.97,,
matmul 1x44x40xf64,1.00,,0.97,,
matmul 1x44x44xf64,1.00,,0.98,,
matmul 1x44x48xf64,1.00,,0.98,,
matmul 1x44x4xf64,0.94,,0.87,,
matmul 1x44x52xf64,1.00,,0.98,,
matmul 1x44x56xf64,1.00,,0.98,,
matmul 1x44x60xf64,1.00,,0.99,,
matmul 1x44x64xf64,1.00,,0.99,,
matmul 1x44x8xf64,0.95,,0.85,,
matmul 1x48x12xf64,0.96,,0.91,,
matmul 1x48x16xf64,0.96,,0.93,,
matmul 1x48x20xf64,0.99,,0.96,,
matmul 1x48x24xf64,0.99,,0.96,,
matmul 1x48x28xf64,1.00,,0.97,,
matmul 1x48x32xf64,1.00,,0.97,,
matmul 1x48x36xf64,1.00,,0.97,,
matmul 1x48x40xf64,1.00,,0.98,,
matmul 1x48x44xf64,1.00,,0.98,,
matmul 1x48x48xf64,1.00,,0.98,,
matmul 1x48x4xf64,0.94,,0.88,,
matmul 1x48x52xf64,1.00,,0.98,,
matmul 1x48x56xf64,1.00,,0.99,,
matmul 1x48x60xf64,1.00,,0.99,,
matmul 1x48x64xf64,1.00,,0.99,,
matmul 1x48x8xf64,0.95,,0.86,,
matmul 1x4x12xf64,0.42,,0.74,,
matmul 1x4x16xf64,0.55,,0.69,,
matmul 1x4x20xf64,0.59,,0.78,,
matmul 1x4x24xf64,0.58,,0.83,,
matmul 1x4x28xf64,0.61,,0.82,,
matmul 1x4x32xf64,0.59,,0.85,,
matmul 1x4x36xf64,0.59,,0.86,,
matmul 1x4x40xf64,0.60,,0.87,,
matmul 1x4x44xf64,0.60,,0.88,,
matmul 1x4x48xf64,0.60,,0.89,,
matmul 1x4x4xf64,0.44,,0.65,,
