test,params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_fmadd_issues,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fpss_stores,fseq_fpu_yield,fseq_yield,section,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,snitch_stores,start,tend,total_ipc,tstart
matmul,1x20x5xf64,linalg_3_xdsl,507,1281,1278,2.8598130841121496,1.0,100,107,306,0.21104536489151873,0.8842975206611571,121,5,5,0.23865877712031558,0,5,4.321428571428571,4.321428571428571,1,0.0,28,0.22580645161290322,96,0,0,0.1893491124260355,0,775,0.0,0.42800788954635105,0.0
matmul,1x20x5xf64,linalg_4_xdsl,507,1283,1280,2.7767857142857144,0.0,100,112,311,0.22090729783037474,0.9824561403508771,114,0,0,0.22485207100591717,0,0,4.750000000000001,4.75,1,0.0,24,0.3037974683544304,55,0,0,0.10848126232741617,0,777,0.0,0.33333333333333337,0.0
matmul,1x20x5xf64,linalg_5_xdsl,191,967,964,2.81981981981982,0.0,100,111,313,0.581151832460733,0.9823008849557522,113,0,0,0.5916230366492147,0,0,5.947368421052632,5.947368421052632,1,0.0,19,0.37254901960784315,32,0,0,0.16753926701570682,0,777,0.0,0.7591623036649215,0.0
matmul,4x16x8xf64,baseline,2495,3293,3290,2.9941520467836256,1.4991334488734835,480,513,1536,0.20561122244488977,0.4568121104185218,1123,865,577,0.4501002004008016,0,33,1.0,1.0,1,0.0,1123,0.7975852272727273,285,0,0,0.11422845691382766,0,799,0.0,0.5643286573146293,0.0
matmul,4x16x8xf64,linalg,2694,3483,3480,2.9941520467836256,1.4745484400656814,512,513,1536,0.19042316258351893,0.44415584415584414,1155,898,609,0.4287305122494432,0,33,1.0,1.0,1,3.4,1155,0.73520050922979,416,17,5,0.1544172234595397,69,790,0.0,0.5831477357089829,0.0
matmul,4x16x8xf64,linalg_xdsl,708,1493,1490,2.811418685121107,0.0,512,578,1625,0.8163841807909604,0.996551724137931,580,0,0,0.8192090395480226,0,0,5.37037037037037,5.37037037037037,1,0.0,108,0.5869565217391305,76,0,0,0.10734463276836158,0,786,0.0,0.9265536723163842,0.0
matmul_transb,4x16x16xf32,baseline,3386,4184,4181,2.539660056657224,1.4921875,0,706,1793,0.20850561134081513,0.3935340022296544,1794,1528,1024,0.5298287064382753,0,64,1.0,1.0,1,0.0,1794,0.5561066336019839,1432,0,0,0.42291789722386297,0,799,0.0,0.9527466036621383,0.0
matmul_transb,4x16x16xf32,snitch_stream,871,1660,1657,2.648367952522255,0.0,0,674,1785,0.7738231917336394,0.9519774011299436,708,0,0,0.8128587830080367,0,32,2.1325301204819276,2.1325301204819276,1,0.0,332,0.7793427230046949,94,0,0,0.1079219288174512,0,790,0.0,0.9207807118254879,0.0
matmul_transb,4x16x16xf32,snrt,849,1612,1609,2.648367952522255,0.0,0,674,1785,0.7938751472320377,0.9519774011299436,708,0,0,0.833922261484099,0,32,2.1325301204819276,2.1325301204819276,1,0.0,332,0.8924731182795699,40,0,0,0.04711425206124853,0,764,0.0,0.8810365135453475,0.0
pooling_nchw_max_d1_s2_3x3,4x4xf64,baseline,584,1328,1325,0.995575221238938,1.1226415094339623,0,226,225,0.386986301369863,0.6330532212885154,357,119,106,0.6113013698630136,0,25,1.0,1.0,1,0.0,357,0.9153846153846154,33,0,0,0.05650684931506849,0,745,0.0,0.6678082191780821,0.0
pooling_nchw_max_d1_s2_3x3,4x4xf64,linalg,484,1242,1239,0.993103448275862,1.0909090909090908,0,145,144,0.29958677685950413,0.5823293172690763,249,96,88,0.5144628099173554,0,16,1.0,1.0,1,0.0,249,0.8498293515358362,44,0,0,0.09090909090909091,32,759,0.0,0.6053719008264463,0.0
pooling_nchw_max_d1_s2_3x3,4x4xf64,linalg_xdsl,275,1018,1015,0.9943820224719101,0.0,0,178,177,0.6472727272727272,0.9888888888888889,180,0,0,0.6545454545454545,0,0,3.214285714285714,3.2142857142857144,1,0.0,56,0.5283018867924528,50,0,0,0.18181818181818182,0,744,0.0,0.8363636363636364,0.0
pooling_nchw_sum_d1_s2_3x3,4x4xf64,baseline,902,1647,1644,2.985074626865672,1.1904761904761905,0,201,600,0.22283813747228381,0.6072507552870091,331,125,105,0.3669623059866962,0,25,1.0,1.0,1,0.0,331,0.914364640883978,31,0,0,0.03436807095343681,0,746,0.0,0.401330376940133,0.0
pooling_nchw_sum_d1_s2_3x3,4x4xf64,linalg,832,1597,1594,2.9793103448275864,1.125,0,145,432,0.17427884615384615,0.5823293172690763,249,99,88,0.29927884615384615,0,16,1.0,1.0,1,3.0,249,0.6955307262569832,109,9,3,0.1310096153846154,47,766,0.0,0.43028846153846156,0.0
pooling_nchw_sum_d1_s2_3x3,4x4xf64,linalg_xdsl,271,1046,1043,2.6797752808988764,0.0,0,178,477,0.6568265682656826,0.9888888888888889,180,0,0,0.6642066420664207,0,0,3.214285714285714,3.2142857142857144,1,0.0,56,0.5384615384615384,48,0,0,0.17712177121771217,0,776,0.0,0.8413284132841328,0.0
relu,4x4xf64,baseline,142,892,889,0.9444444444444444,1.0,0,18,17,0.1267605633802817,0.36,50,16,16,0.352112676056338,0,16,1.0,1.0,1,0.0,50,0.8771929824561403,7,0,0,0.04929577464788732,0,751,0.0,0.4014084507042253,0.0
relu,4x4xf64,linalg,125,869,866,0.9444444444444444,1.0,0,18,17,0.144,0.36,50,16,16,0.4,0,16,1.0,1.0,1,0.0,50,0.8620689655172413,8,0,0,0.064,0,745,0.0,0.464,0.0
relu,4x4xf64,linalg_xdsl,72,817,814,0.9444444444444444,0.0,0,18,17,0.25,0.9,20,0,0,0.2777777777777778,0,0,3.333333333333333,3.3333333333333335,1,0.0,6,0.25,18,0,0,0.25,0,746,0.0,0.5277777777777778,0.0
relu,4x8xf32,baseline,297,1042,1039,0.9897959183673469,1.0,0,98,97,0.32996632996632996,0.6049382716049383,162,32,32,0.5454545454545454,0,32,1.0,1.0,1,0.0,162,0.9585798816568047,7,0,0,0.02356902356902357,0,746,0.0,0.569023569023569,0.0
relu,4x8xf32,linalg,210,954,951,0.9705882352941176,1.0,0,34,33,0.1619047619047619,0.3469387755102041,98,32,32,0.4666666666666667,0,32,1.0,1.0,1,0.0,98,0.9158878504672897,9,0,0,0.04285714285714286,0,745,0.0,0.5095238095238095,0.0
relu,4x8xf32,snitch_stream,67,801,798,0.9473684210526315,0.0,0,19,18,0.2835820895522388,0.9047619047619048,21,0,0,0.31343283582089554,0,0,3.0,3.0,1,0.0,7,0.2916666666666667,17,0,0,0.2537313432835821,0,735,0.0,0.5671641791044777,0.0
relu,4x8xf32,snrt,85,826,823,0.9473684210526315,0.0,0,19,18,0.2235294117647059,0.9047619047619048,21,0,0,0.24705882352941178,0,0,3.0,3.0,1,0.0,7,0.35,13,0,0,0.15294117647058825,0,742,0.0,0.4,0.0
saxpy,64xf32,baseline,634,1382,1379,2.953846153846154,1.0775193798449612,0,65,192,0.10252365930599369,0.25193798449612403,258,139,129,0.4069400630914827,0,64,1.0,1.0,1,0.0,258,0.43728813559322033,332,0,0,0.5236593059936908,0,749,0.0,0.9305993690851735,0.0
saxpy,64xf32,linalg,634,1382,1379,2.953846153846154,1.0775193798449612,0,65,192,0.10252365930599369,0.25193798449612403,258,139,129,0.4069400630914827,0,64,1.0,1.0,1,0.0,258,0.43728813559322033,332,0,0,0.5236593059936908,0,749,0.0,0.9305993690851735,0.0
saxpy,64xf32,snrt,140,904,900,2.953846153846154,6.0,0,65,192,0.4642857142857143,0.9154929577464789,71,12,2,0.5071428571428571,0,2,2.9583333333333335,2.9583333333333335,1,0.0,24,0.5454545454545454,20,0,0,0.14285714285714285,0,765,0.0,0.6499999999999999,0.0
sum,4x4xf64,baseline,129,898,895,2.823529411764706,1.65625,0,17,48,0.13178294573643412,0.26153846153846155,65,53,32,0.5038759689922481,0,16,1.0,1.0,1,0.0,65,0.8904109589041096,8,0,0,0.06201550387596899,0,770,0.0,0.5658914728682171,0.0
sum,4x4xf64,linalg,162,905,902,2.823529411764706,1.65625,0,17,48,0.10493827160493827,0.26153846153846155,65,53,32,0.4012345679012346,0,16,1.0,1.0,1,0.0,65,0.8783783783783784,9,0,0,0.05555555555555555,0,744,0.0,0.45679012345679015,0.0
sum,4x4xf64,linalg_xdsl,87,827,823,2.823529411764706,0.0,0,17,48,0.19540229885057472,0.8947368421052632,19,0,0,0.21839080459770116,0,0,3.8,3.8,1,0.0,5,0.19230769230769232,21,0,0,0.2413793103448276,0,741,0.0,0.45977011494252873,0.0
sum,4x8xf32,baseline,238,998,995,2.909090909090909,1.703125,0,33,96,0.13865546218487396,0.2558139534883721,129,109,64,0.542016806722689,0,32,1.0,1.0,1,0.0,129,0.9416058394160584,8,0,0,0.03361344537815126,0,761,0.0,0.5756302521008403,0.0
sum,4x8xf32,linalg,247,1011,1008,2.909090909090909,1.703125,0,33,96,0.13360323886639677,0.2558139534883721,129,109,64,0.5222672064777328,0,32,1.0,1.0,1,0.0,129,0.9347826086956522,9,0,0,0.03643724696356275,0,765,0.0,0.5587044534412956,0.0
sum,4x8xf32,linalg_xdsl,87,851,847,2.823529411764706,0.0,0,17,48,0.19540229885057472,0.8947368421052632,19,0,0,0.21839080459770116,0,0,3.8,3.8,1,0.0,5,0.19230769230769232,21,0,0,0.2413793103448276,0,765,0.0,0.45977011494252873,0.0
sum,4x8xf32,snrt,72,835,831,2.823529411764706,0.0,0,17,48,0.2361111111111111,0.8947368421052632,19,0,0,0.2638888888888889,0,0,3.8,3.8,1,0.0,5,0.25,15,0,0,0.20833333333333334,0,764,0.0,0.4722222222222222,0.0
sum,8x8xf16,baseline,821,1575,1572,1.4941634241245136,1.0,0,257,384,0.31303288672350793,0.5723830734966593,449,128,128,0.5468940316686967,0,64,1.0,1.0,1,0.0,449,0.576379974326059,330,0,0,0.40194884287454324,0,755,0.0,0.9488428745432399,0.0
sum,8x8xf16,linalg_xdsl,65,816,812,2.823529411764706,0.0,0,17,48,0.26153846153846155,0.8947368421052632,19,0,0,0.2923076923076923,0,0,3.8,3.8,1,0.0,5,0.19230769230769232,21,0,0,0.3230769230769231,0,752,0.0,0.6153846153846154,0.0
