kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 1x28x44xf64,6683,,1402,,
matmul 1x28x48xf64,7294,,1525,,
matmul 1x28x4xf64,619,,161,,
matmul 1x28x52xf64,7900,,1646,,
matmul 1x28x56xf64,8504,,1757,,
matmul 1x28x60xf64,9107,,1889,,
matmul 1x28x64xf64,9714,,2012,,
matmul 1x28x8xf64,1227,,298,,
matmul 1x32x12xf64,2100,,485,,
matmul 1x32x16xf64,2781,,612,,
matmul 1x32x20xf64,3476,,759,,
matmul 1x32x24xf64,4164,,896,,
matmul 1x32x28xf64,4861,,1036,,
matmul 1x32x32xf64,5534,,1170,,
matmul 1x32x36xf64,6225,,1305,,
matmul 1x32x40xf64,6920,,1442,,
matmul 1x32x44xf64,7624,,1578,,
matmul 1x32x48xf64,8312,,1717,,
matmul 1x32x4xf64,705,,177,,
matmul 1x32x52xf64,9009,,1854,,
matmul 1x32x56xf64,9697,,1981,,
matmul 1x32x60xf64,10386,,2129,,
matmul 1x32x64xf64,11070,,2268,,
matmul 1x32x8xf64,1398,,335,,
matmul 1x36x12xf64,3087,,533,,
matmul 1x36x16xf64,4111,,691,,
matmul 1x36x20xf64,5241,,832,,
matmul 1x36x24xf64,6286,,992,,
matmul 1x36x28xf64,7330,,1148,,
matmul 1x36x32xf64,8374,,1292,,
matmul 1x36x36xf64,9418,,1449,,
matmul 1x36x40xf64,10462,,1602,,
matmul 1x36x44xf64,11506,,1754,,
matmul 1x36x48xf64,12550,,1909,,
matmul 1x36x4xf64,997,,193,,
matmul 1x36x52xf64,13594,,2062,,
matmul 1x36x56xf64,14638,,2205,,
matmul 1x36x60xf64,15682,,2369,,
matmul 1x36x64xf64,16726,,2524,,
matmul 1x36x8xf64,2041,,368,,
matmul 1x40x12xf64,3502,,572,,
matmul 1x40x16xf64,4670,,755,,
matmul 1x40x20xf64,5802,,919,,
matmul 1x40x24xf64,6958,,1088,,
matmul 1x40x28xf64,8114,,1260,,
matmul 1x40x32xf64,9270,,1420,,
matmul 1x40x36xf64,10426,,1593,,
matmul 1x40x40xf64,11582,,1755,,
matmul 1x40x44xf64,12738,,1930,,
matmul 1x40x48xf64,13894,,2101,,
matmul 1x40x4xf64,1170,,209,,
matmul 1x40x52xf64,15050,,2272,,
matmul 1x40x56xf64,16206,,2429,,
matmul 1x40x60xf64,17362,,2609,,
matmul 1x40x64xf64,18518,,2780,,
matmul 1x40x8xf64,2340,,400,,
matmul 1x44x12xf64,3838,,620,,
matmul 1x44x16xf64,5118,,819,,
matmul 1x44x20xf64,6362,,999,,
matmul 1x44x24xf64,7630,,1184,,
matmul 1x44x28xf64,8898,,1372,,
matmul 1x44x32xf64,10166,,1548,,
matmul 1x44x36xf64,11434,,1737,,
matmul 1x44x40xf64,12702,,1922,,
matmul 1x44x44xf64,13970,,2106,,
matmul 1x44x48xf64,15238,,2293,,
matmul 1x44x4xf64,1282,,225,,
matmul 1x44x52xf64,16506,,2478,,
matmul 1x44x56xf64,17774,,2653,,
matmul 1x44x60xf64,19042,,2849,,
matmul 1x44x64xf64,20310,,3036,,
matmul 1x44x8xf64,2564,,432,,
matmul 1x48x12xf64,4174,,668,,
matmul 1x48x16xf64,5566,,883,,
matmul 1x48x20xf64,6922,,1079,,
matmul 1x48x24xf64,8302,,1280,,
matmul 1x48x28xf64,9682,,1484,,
matmul 1x48x32xf64,11062,,1676,,
matmul 1x48x36xf64,12442,,1881,,
matmul 1x48x40xf64,13822,,2082,,
matmul 1x48x44xf64,15202,,2282,,
matmul 1x48x48xf64,16582,,2485,,
